fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
6.9,0.39,0.4,4.6,0.022,5,19,0.9915,3.31,0.37,12.6,3.0
7.7,0.34,0.28,11.0,0.04,31,117,0.99815,3.27,0.29,9.2,6.0
6.6,0.545,0.04,2.5,0.031,48,111,0.9906,3.14,0.32,11.9,5.0
7.1,0.44,0.27,8.4,0.057,60,160,0.99257,3.16,0.36,11.8,6.0
6.3,0.23,0.21,5.1,0.035,29,142,0.9942,3.36,0.33,10.1,7.0
6.4,0.23,0.35,10.3,0.042,54,140,0.9967,3.23,0.47,9.2,5.0
7.0,0.23,0.42,5.1,0.042,37,144,0.99518,3.5,0.59,10.2,6.0
6.4,0.68,0.26,3.4,0.069,25,146,0.99347,3.18,0.4,9.3,5.0
7.8,0.21,0.39,1.8,0.034,62,180,0.991,3.09,0.75,12.6,8.0
7.4,0.29,0.29,1.6,0.045,53,180,0.9936,3.34,0.68,10.5,6.0
8.1,0.29,0.49,7.1,0.042,22,124,0.9944,3.14,0.41,10.8,6.0
5.8,0.24,0.39,1.5,0.054,37,158,0.9932,3.21,0.52,9.3,6.0
6.4,0.34,0.2,14.9,0.06,37,162,0.9983,3.13,0.45,9.0,4.0
5.9,0.32,0.19,14.5,0.042,37,115,0.99684,3.16,0.43,10.3,5.0
6.6,0.24,0.29,2.0,0.023,19,86,0.99,3.25,0.45,12.5,6.0
5.2,0.24,0.45,3.8,0.027,21,128,0.992,3.55,0.49,11.2,8.0
6.8,0.36,0.32,1.6,0.039,10,124,0.9948,3.3,0.67,9.6,5.0
6.4,0.29,0.18,15.0,0.04,21,116,0.99736,3.14,0.5,9.2,5.0
6.6,0.32,0.24,1.3,0.06,42.5,204,0.99512,3.59,0.51,9.2,5.0
6.6,0.37,0.07,1.4,0.048,58,144,0.9922,3.17,0.38,10.0,5.0
5.3,0.43,0.11,1.1,0.029,6,51,0.99076,3.51,0.48,11.2,4.0
6.7,0.33,0.42,6.4,0.058,27,151,0.9954,3.16,0.44,9.6,5.0
7.5,0.22,0.32,2.4,0.045,29,100,0.99135,3.08,0.6,11.3,7.0
6.2,0.27,0.32,6.3,0.048,47,159,0.99282,3.21,0.6,11.0,6.0
6.3,0.22,0.57,1.4,0.208,14,96,0.9932,3.16,0.43,10.0,6.0
6.5,0.21,0.37,2.5,0.048,70,138,0.9917,3.33,0.75,11.4,7.0
5.2,0.335,0.2,1.7,0.033,17,74,0.99002,3.34,0.48,12.3,6.0
7.8,0.16,0.41,1.7,0.026,29,140,0.991,3.02,0.78,12.5,6.0
4.8,0.26,0.23,10.6,0.034,23,111,0.99274,3.46,0.28,11.5,7.0
6.9,0.23,0.35,6.9,0.03,45,116,0.99244,2.8,0.54,11.0,6.0
7.6,0.3,0.37,1.6,0.087,27,177,0.99438,3.09,0.5,9.8,5.0
8.2,0.32,0.26,2.1,0.062,26,87,0.98974,3.1,0.47,12.8,6.0
7.6,0.29,0.29,4.4,0.051,26,146,0.9939,3.16,0.39,10.2,5.0
6.5,0.18,0.33,1.4,0.029,35,138,0.99114,3.36,0.6,11.5,7.0
6.5,0.37,0.3,2.2,0.033,39,107,0.98894,3.22,0.53,13.5,7.0
6.2,0.22,0.3,12.4,0.054,108,152,0.99728,3.1,0.47,9.5,6.0
7.4,0.16,0.32,1.4,0.065,23,140,0.99134,3.06,0.47,11.4,6.0
7.0,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9.0,7.0
6.9,0.36,0.28,13.55,0.048,51,189,0.99782,3.0,0.6,9.5,7.0
7.3,0.22,0.26,1.5,0.04,32,172,0.99194,3.27,0.48,11.2,6.0
7.4,0.33,0.26,2.6,0.04,29,115,0.9913,3.07,0.52,11.8,7.0
7.9,0.33,0.28,31.6,0.053,35,176,1.0103,3.15,0.38,8.8,6.0
7.5,0.28,0.41,1.3,0.044,11,126,0.99293,3.28,0.45,10.3,5.0
6.6,0.27,0.25,3.1,0.052,41,188,0.9915,3.24,0.4,11.3,5.0
7.1,0.18,0.42,1.4,0.045,47,157,0.9916,2.95,0.31,10.5,6.0
7.4,0.18,0.31,1.4,0.058,38,167,0.9931,3.16,0.53,10.0,7.0
7.1,0.31,0.38,1.2,0.036,10,124,0.9924,3.14,0.44,9.9,6.0
8.3,0.18,0.3,1.1,0.033,20,57,0.99109,3.02,0.51,11.0,6.0
6.6,0.33,0.24,16.05,0.045,31,147,0.99822,3.08,0.52,9.2,5.0
6.2,0.19,0.38,5.1,0.019,22,82,0.98961,3.05,0.36,12.5,6.0
7.2,0.36,0.36,5.7,0.038,26,98,0.9914,2.93,0.59,12.5,7.0
6.8,0.32,0.18,7.5,0.041,71,223,0.9959,3.14,0.41,8.9,5.0
6.0,0.14,0.37,1.2,0.032,63,148,0.99185,3.32,0.44,11.2,5.0
5.1,0.26,0.33,1.1,0.027,46,113,0.98946,3.35,0.43,11.4,7.0
6.4,0.32,0.23,16.2,0.055,36,176,0.9986,3.26,0.54,9.1,5.0
6.1,0.46,0.32,6.2,0.053,10,94,0.99537,3.35,0.47,10.1,5.0
6.4,0.37,0.2,5.6,0.117,61,183,0.99459,3.24,0.43,9.5,5.0
6.9,0.17,0.22,4.6,0.064,55,152,0.9952,3.29,0.37,9.3,6.0
6.2,0.3,0.33,3.5,0.037,37,155,0.98987,3.18,0.37,12.4,6.0
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3.0,0.52,9.0,7.0
6.1,0.36,0.58,15.0,0.044,42,115,0.9978,3.15,0.51,9.0,5.0
6.7,0.41,0.01,2.8,0.048,39,137,0.9942,3.24,0.35,9.5,5.0
8.0,0.28,0.32,7.6,0.045,61,204,0.99543,3.1,0.55,10.1,6.0
5.7,0.32,0.18,1.4,0.029,26,104,0.9906,3.44,0.37,11.0,6.0
6.5,0.28,0.26,8.8,0.04,44,139,0.9956,3.32,0.37,10.2,6.0
6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8,5.0
6.1,0.33,0.32,7.8,0.052,52,183,0.99657,3.39,0.65,9.5,5.0
6.4,0.13,0.47,1.6,0.092,40,158,0.9928,3.21,0.36,9.8,6.0
7.1,0.2,0.41,2.1,0.054,24,166,0.9948,3.48,0.62,10.5,6.0
7.7,0.28,0.29,4.3,0.051,25,142,0.9939,3.16,0.39,10.2,5.0
6.4,0.25,0.32,0.9,0.034,40,114,0.99114,3.31,0.58,10.8,7.0
6.7,0.19,0.41,15.6,0.056,75,155,0.9995,3.2,0.44,8.8,6.0
6.4,0.24,0.27,1.5,0.04,35,105,0.98914,3.13,0.3,12.4,6.0
6.8,0.31,0.19,3.5,0.086,30,130,0.993,2.83,0.44,9.6,5.0
7.2,0.31,0.35,7.2,0.046,45,178,0.9955,3.14,0.53,9.7,5.0
6.0,0.27,0.32,3.6,0.035,36,133,0.99215,3.23,0.46,10.8,6.0
6.4,0.31,0.28,1.5,0.037,12,119,0.9919,3.32,0.51,10.4,7.0
6.1,0.37,0.36,4.7,0.035,36,116,0.991,3.31,0.62,12.6,6.0
8.2,0.21,0.48,1.4,0.041,11,99,0.9958,3.17,0.57,9.9,5.0
8.1,0.27,0.33,1.3,0.045,26,100,0.99066,2.98,0.44,12.4,6.0
10.0,0.23,0.27,14.1,0.033,45,166,0.9988,2.72,0.43,9.7,6.0
6.3,0.12,0.36,2.1,0.044,47,146,0.9914,3.27,0.74,11.4,7.0
7.3,0.51,0.29,11.3,0.034,61,224,0.99683,3.14,0.56,9.5,6.0
7.3,0.26,0.53,12.7,0.047,60.5,164.5,0.9984,3.06,0.45,9.1,6.0
7.8,0.3,0.37,1.3,0.051,16,96,0.9941,3.32,0.62,10.0,5.0
6.7,0.27,0.31,15.7,0.036,44,179,0.9979,3.26,0.56,9.6,5.0
7.2,0.17,0.34,6.4,0.042,16,111,0.99278,2.99,0.4,10.8,6.0
6.7,0.22,0.39,10.2,0.038,60,149,0.99725,3.17,0.54,10.0,7.0
8.3,0.22,0.38,14.8,0.054,32,126,1.0002,3.22,0.5,9.7,5.0
6.2,0.37,0.24,6.1,0.032,19,86,0.98934,3.04,0.26,13.4,8.0
6.7,0.27,0.33,3.6,0.034,9,45,0.99144,3.08,0.4,10.5,6.0
6.2,0.36,0.14,8.9,0.036,38,155,0.99622,3.27,0.5,9.4,5.0
5.1,0.35,0.26,6.8,0.034,36,120,0.99188,3.38,0.4,11.5,6.0
7.0,0.36,0.32,10.05,0.045,37,131,0.99352,3.09,0.33,11.7,8.0
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3.0,0.52,9.0,7.0
8.6,0.23,0.25,11.3,0.031,13,96,0.99645,3.11,0.4,10.8,5.0
7.8,0.25,0.41,3.7,0.042,37,149,0.9954,3.36,0.45,10.0,6.0
6.1,0.32,0.25,1.7,0.034,37,136,0.992,3.47,0.5,10.8,7.0
7.4,0.19,0.3,1.4,0.057,33,135,0.993,3.12,0.5,9.6,6.0
6.7,0.24,0.31,2.3,0.044,37,113,0.99013,3.29,0.46,12.9,6.0
6.7,0.24,0.37,11.3,0.043,64,173,0.99632,3.08,0.53,9.9,6.0
6.4,0.4,0.19,3.2,0.033,28,124,0.9904,3.22,0.54,12.7,7.0
6.4,0.18,0.32,9.6,0.052,24,90,0.9963,3.35,0.49,9.4,6.0
7.3,0.3,0.25,2.5,0.045,32,122,0.99329,3.18,0.54,10.3,5.0
8.0,0.22,0.42,14.6,0.044,45,163,1.0003,3.21,0.69,8.6,7.0
5.3,0.2,0.31,3.6,0.036,22,91,0.99278,3.41,0.5,9.8,6.0
7.2,0.28,0.38,2.0,0.052,23,156,0.9912,3.13,0.52,11.1,5.0
7.1,0.21,0.37,2.4,0.026,23,100,0.9903,3.15,0.38,11.4,7.0
6.5,0.18,0.31,1.7,0.044,30,127,0.9928,3.49,0.5,10.2,7.0
6.6,0.23,0.37,8.5,0.036,46,153,0.99576,3.2,0.48,9.4,6.0
6.6,0.32,0.47,15.6,0.063,27,173,0.99872,3.18,0.56,9.0,5.0
6.0,0.29,0.2,12.6,0.045,45,187,0.9972,3.33,0.42,9.5,5.0
6.7,0.24,0.26,12.6,0.053,44,182,0.99802,3.42,0.42,9.7,5.0
6.5,0.34,0.46,1.0,0.023,6,80,0.98865,3.15,0.54,12.9,6.0
7.5,0.14,0.34,1.3,0.055,50,153,0.9945,3.29,0.8,9.6,6.0
6.0,0.43,0.34,7.6,0.045,25,118,0.99222,3.03,0.37,11.0,6.0
7.8,0.2,0.28,10.2,0.054,78,186,0.997,3.14,0.46,10.0,6.0
7.2,0.47,0.16,5.9,0.048,14,125,0.99428,3.09,0.49,9.8,5.0
6.2,0.12,0.26,5.7,0.044,56,158,0.9951,3.52,0.37,10.5,6.0
7.2,0.19,0.39,1.2,0.036,32,85,0.9918,3.16,0.5,10.5,5.0
6.4,0.5,0.16,12.9,0.042,26,138,0.9974,3.28,0.33,9.0,5.0
6.7,0.16,0.32,12.5,0.035,18,156,0.99666,2.88,0.36,9.0,6.0
7.0,0.18,0.26,1.4,0.044,46,89,0.99256,3.39,0.48,10.7,7.0
7.3,0.17,0.23,6.3,0.051,35,240,0.9963,3.36,0.54,10.0,6.0
7.9,0.28,0.32,3.6,0.038,9,76,0.992,3.05,0.31,11.7,4.0
5.0,0.3,0.33,3.7,0.03,54,173,0.9887,3.36,0.3,13.0,7.0
7.1,0.23,0.35,16.5,0.04,60,171,0.999,3.16,0.59,9.1,6.0
6.1,0.28,0.27,8.0,0.048,41,162,0.99498,3.21,0.51,9.9,5.0
6.9,0.3,0.3,1.3,0.053,24,186,0.99361,3.29,0.54,9.9,4.0
5.9,0.18,0.28,1.0,0.037,24,88,0.99094,3.29,0.55,10.65,7.0
5.9,0.34,0.25,2.0,0.042,12,110,0.99034,3.02,0.54,11.4,6.0
6.4,0.23,0.37,7.9,0.05,60,150,0.99488,2.86,0.49,9.3,6.0
7.4,0.4,0.41,14.1,0.053,37,194,0.99886,3.2,0.63,9.4,6.0
6.4,0.33,0.24,1.6,0.054,25,117,0.9943,3.36,0.5,9.3,5.0
7.0,0.21,0.34,8.5,0.033,31,253,0.9953,3.22,0.56,10.5,6.0
6.0,0.24,0.41,1.3,0.036,42,118,0.99018,3.04,0.64,11.75,6.0
5.6,0.19,0.31,2.7,0.027,11,100,0.98964,3.46,0.4,13.2,7.0
7.2,0.24,0.24,1.7,0.045,18,161,0.99196,3.25,0.53,11.2,6.0
7.9,0.33,0.28,31.6,0.053,35,176,1.0103,3.15,0.38,8.8,6.0
6.7,0.18,0.37,1.3,0.027,42,125,0.98939,3.24,0.37,12.8,7.0
8.2,0.35,0.4,6.3,0.039,35,162,0.9936,3.15,0.34,11.9,7.0
6.0,0.35,0.46,0.9,0.033,9,65,0.98934,3.24,0.35,12.1,4.0
6.4,0.17,0.34,1.5,0.091,42,135,0.9938,3.25,0.49,9.6,7.0
7.3,0.23,0.34,9.3,0.052,19,86,0.99574,3.04,0.56,10.0,5.0
7.1,0.28,0.26,1.9,0.049,12,86,0.9934,3.15,0.38,9.4,5.0
7.4,0.14,0.3,1.3,0.033,25,91,0.99268,3.53,0.39,10.6,6.0
9.2,0.27,0.34,10.5,0.043,49,228,0.9974,3.04,0.41,10.4,6.0
6.8,0.53,0.35,3.8,0.034,26,109,0.9906,3.26,0.57,12.7,8.0
6.6,0.17,0.28,1.8,0.042,62,178,0.99204,3.15,0.42,10.2,5.0
6.5,0.39,0.23,5.4,0.051,25,149,0.9934,3.24,0.35,10.0,5.0
7.0,0.28,0.33,14.6,0.043,47,168,0.9994,3.34,0.67,8.8,6.0
6.3,0.31,0.3,10.0,0.046,49,212,0.9962,3.74,0.55,11.9,6.0
4.4,0.46,0.1,2.8,0.024,31,111,0.98816,3.48,0.34,13.1,6.0
6.9,0.37,0.28,13.8,0.031,34,137,0.9948,3.1,0.37,11.6,6.0
6.1,0.36,0.33,1.1,0.05,24,169,0.9927,3.15,0.78,9.5,6.0
6.2,0.16,0.34,1.7,0.038,85,153,0.9909,3.33,0.86,12.0,7.0
6.5,0.5,0.22,4.1,0.036,35,131,0.9902,3.26,0.55,13.0,7.0
6.5,0.33,0.28,6.1,0.018,41,103,0.99122,3.24,0.32,12.2,6.0
7.4,0.36,0.33,1.4,0.025,27,55,0.9915,3.21,0.33,11.2,6.0
5.8,0.2,0.27,1.4,0.031,12,77,0.9905,3.25,0.36,10.9,7.0
6.4,0.24,0.31,2.8,0.038,41,114,0.99155,3.37,0.66,11.7,7.0
6.7,0.11,0.34,8.8,0.043,41,113,0.9962,3.42,0.4,9.3,7.0
6.8,0.19,0.71,17.5,0.042,21,114,0.99784,2.85,0.5,9.5,6.0
7.2,0.6,0.2,9.9,0.07,21,174,0.9971,3.03,0.54,9.1,5.0
7.0,0.35,0.24,1.9,0.04,21,144,0.9923,3.35,0.38,11.0,5.0
6.5,0.23,0.25,17.3,0.046,15,110,0.99828,3.15,0.42,9.2,6.0
8.0,0.22,0.31,5.6,0.049,24,97,0.993,3.1,0.42,10.9,5.0
6.6,0.23,0.26,1.3,0.045,16,128,0.9934,3.36,0.6,10.0,6.0
6.6,0.2,0.27,10.9,0.038,29,130,0.99496,3.11,0.44,10.5,7.0
7.3,0.22,0.49,9.4,0.034,29,134,0.9939,2.99,0.32,11.0,7.0
6.4,0.31,0.4,6.4,0.039,39,191,0.99513,3.14,0.52,9.8,5.0
6.3,0.18,0.24,3.4,0.053,20,119,0.99373,3.11,0.52,9.2,6.0
6.0,0.17,0.29,9.7,0.044,33,98,0.99536,3.12,0.36,9.2,6.0
6.8,0.32,0.37,3.4,0.023,19,87,0.9902,3.14,0.53,12.7,6.0
8.4,0.4,0.7,13.1,0.042,29,197,0.998,3.06,0.64,9.7,5.0
6.8,0.21,0.49,14.5,0.06,50,170,0.9991,3.55,0.44,9.8,6.0
8.0,0.26,0.28,4.8,0.05,34,150,0.99437,3.13,0.5,10.0,6.0
8.3,0.2,0.74,4.45,0.044,33,130,0.9924,3.25,0.42,12.2,6.0
5.8,0.31,0.31,7.5,0.052,55,230,0.9949,3.19,0.46,9.8,5.0
6.2,0.23,0.23,1.2,0.018,18,128,0.99178,3.05,0.28,10.6,5.0
7.1,0.34,0.32,2.0,0.051,29,130,0.99354,3.3,0.5,10.4,6.0
6.9,0.29,0.3,8.2,0.026,35,112,0.99144,3.0,0.37,12.3,6.0
6.9,0.28,0.22,10.0,0.052,36,131,0.99696,3.08,0.46,9.6,5.0
7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,4.0
8.2,0.23,0.4,7.5,0.049,12,76,0.9966,3.06,0.84,9.7,6.0
6.3,0.4,0.24,5.1,0.036,43,131,0.99186,3.24,0.44,11.3,6.0
6.0,0.31,0.38,4.8,0.04,41,101,0.98968,3.24,0.56,13.1,6.0
5.7,0.33,0.15,1.9,0.05,20,93,0.9934,3.38,0.62,9.9,5.0
7.7,0.29,0.48,2.3,0.049,36,178,0.9931,3.17,0.64,10.6,6.0
7.2,0.19,0.27,11.2,0.061,46,149,0.99772,2.99,0.59,9.3,6.0
6.9,0.615,0.42,12.0,0.067,24,131,0.99727,3.19,0.34,9.3,5.0
6.7,0.25,0.34,12.85,0.048,30,161,0.9986,3.44,0.47,9.5,6.0
5.7,0.16,0.32,1.2,0.036,7,89,0.99111,3.26,0.48,11.0,5.0
7.4,0.2,0.31,1.6,0.038,34,116,0.9912,3.25,0.39,12.0,7.0
6.3,0.32,0.26,12.3,0.044,24,205,0.99611,3.11,0.58,9.9,5.0
7.9,0.16,0.3,4.8,0.037,37,171,0.9967,3.47,0.44,9.0,4.0
7.0,0.11,0.32,4.6,0.057,59,144,0.9956,3.55,0.44,9.4,7.0
8.3,0.36,0.57,15.0,0.052,35,256,1.0001,2.93,0.64,8.6,5.0
5.9,0.26,0.3,1.0,0.036,38,114,0.9928,3.58,0.48,9.4,5.0
4.7,0.455,0.18,1.9,0.036,33,106,0.98746,3.21,0.83,14.0,7.0
8.0,0.2,0.3,8.1,0.037,42,130,0.99379,3.1,0.67,11.8,6.0
7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5,5.0
6.9,0.28,0.24,2.1,0.034,49,121,0.98882,2.98,0.43,13.2,7.0
6.0,0.16,0.36,1.6,0.042,13,61,0.99143,3.22,0.54,10.8,6.0
6.8,0.23,0.42,7.4,0.044,56,189,0.9958,3.22,0.48,9.3,6.0
7.2,0.32,0.24,5.6,0.033,23,120,0.99334,2.92,0.66,10.3,7.0
6.5,0.35,0.36,0.8,0.034,32,111,0.98942,3.11,0.5,12.1,8.0
8.2,0.25,0.46,3.75,0.05,14,102,0.99524,3.28,0.58,9.7,5.0
8.6,0.18,0.36,1.8,0.04,24,187,0.9956,3.25,0.55,9.5,6.0
6.4,0.45,0.07,1.1,0.03,10,131,0.9905,2.97,0.28,10.8,5.0
5.8,0.28,0.18,1.2,0.058,7,108,0.99288,3.23,0.58,9.55,4.0
7.4,0.28,0.36,14.6,0.048,35,161,0.9968,3.14,0.56,10.6,5.0
6.2,0.3,0.49,11.2,0.058,68,215,0.99656,3.19,0.6,9.4,6.0
5.7,0.2,0.24,13.8,0.047,44,112,0.99837,2.97,0.66,8.8,6.0
5.9,0.18,0.29,4.6,0.032,68,137,0.99159,3.21,0.38,11.3,6.0
7.6,0.25,0.34,1.3,0.056,34,176,0.99434,3.1,0.51,9.5,5.0
6.8,0.25,0.3,11.8,0.043,53,133,0.99524,3.03,0.58,10.4,6.0
5.8,0.335,0.14,5.8,0.046,49,197,0.9937,3.3,0.71,10.3,5.0
6.1,0.15,0.29,6.2,0.046,39,151,0.99471,3.6,0.44,10.6,6.0
7.1,0.32,0.32,11.0,0.038,16,66,0.9937,3.24,0.4,11.5,3.0
7.2,0.24,0.3,1.2,0.037,11,95,0.98914,2.96,0.36,12.5,6.0
7.2,0.23,0.19,13.7,0.052,47,197,0.99865,3.12,0.53,9.0,5.0
5.1,0.29,0.28,8.3,0.026,27,107,0.99308,3.36,0.37,11.0,6.0
6.0,0.16,0.3,6.7,0.043,43,153,0.9951,3.63,0.46,10.6,5.0
6.4,0.24,0.22,1.5,0.038,38,157,0.9934,3.41,0.55,9.9,6.0
7.8,0.18,0.46,12.6,0.042,41,143,1.0,3.24,0.76,8.5,8.0
8.0,0.55,0.17,8.2,0.04,13,60,0.9956,3.09,0.3,9.5,4.0
7.8,0.3,0.4,1.8,0.028,23,122,0.9914,3.14,0.39,10.9,7.0
6.9,0.24,0.39,1.3,0.063,18,136,0.9928,3.31,0.48,10.4,7.0
7.0,0.29,0.35,1.4,0.036,42,109,0.99119,3.31,0.62,11.6,6.0
7.0,0.3,0.49,4.7,0.036,17,105,0.9916,3.26,0.68,12.4,7.0
7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,5.0
6.6,0.2,0.32,1.1,0.039,25,78,0.9926,3.39,0.54,10.2,7.0
7.0,0.28,0.36,1.0,0.035,8,70,0.9899,3.09,0.46,12.1,6.0
6.3,0.26,0.42,7.1,0.045,62,209,0.99544,3.2,0.53,9.5,6.0
6.8,0.21,0.4,6.3,0.032,40,121,0.99214,3.18,0.53,12.0,7.0
6.8,0.29,0.22,3.4,0.035,40,122,0.99024,3.09,0.47,12.3,6.0
6.1,1.1,0.16,4.4,0.033,8,109,0.99058,3.35,0.47,12.4,4.0
6.6,0.26,0.21,2.9,0.026,48,126,0.99089,3.22,0.38,11.3,7.0
6.7,0.3,0.29,2.8,0.025,37,107,0.99159,3.31,0.63,11.3,7.0
6.5,0.31,0.14,7.5,0.044,34,133,0.9955,3.22,0.5,9.5,5.0
7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,5.0
6.6,0.28,0.36,1.7,0.038,22,101,0.9912,3.29,0.57,11.6,6.0
7.0,0.32,0.27,7.1,0.027,37,122,0.99165,3.15,0.6,12.6,7.0
7.6,0.26,0.58,7.9,0.041,62,180,0.9966,3.07,0.38,9.0,5.0
6.4,0.29,0.24,3.2,0.037,31,95,0.98942,2.9,0.66,12.6,7.0
6.8,0.21,0.37,7.0,0.038,27,107,0.99206,2.98,0.82,11.5,6.0
6.7,0.12,0.3,5.2,0.048,38,113,0.99352,3.33,0.44,10.1,7.0
7.1,0.17,0.4,14.55,0.047,47,156,0.99945,3.34,0.78,9.1,6.0
6.5,0.3,0.29,2.25,0.037,8,210,0.9937,3.19,0.62,9.9,5.0
8.1,0.2,0.3,1.3,0.036,7,49,0.99242,2.99,0.73,10.3,5.0
8.2,0.26,0.49,5.2,0.04,19,100,0.9941,3.12,0.34,10.1,6.0
7.1,0.34,0.15,1.2,0.053,61,183,0.9936,3.09,0.43,9.2,5.0
7.2,0.2,0.61,16.2,0.043,14,103,0.9987,3.06,0.36,9.2,6.0
7.3,0.2,0.29,19.9,0.039,69,237,1.00037,3.1,0.48,9.2,6.0
7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,6.0
6.6,0.27,0.25,1.2,0.033,36,111,0.98918,3.16,0.37,12.4,6.0
6.6,0.23,0.32,0.9,0.041,25,79,0.9926,3.39,0.54,10.2,7.0
6.3,0.21,0.31,1.2,0.043,30,117,0.99158,3.49,0.68,11.0,6.0
6.0,0.35,0.51,1.2,0.029,10,102,0.9903,3.46,0.42,11.9,6.0
5.9,0.21,0.31,1.8,0.033,45,142,0.98984,3.35,0.5,12.7,6.0
6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8,5.0
6.2,0.34,0.28,7.5,0.034,40,197,0.99485,3.14,0.6,9.7,5.0
7.1,0.23,0.24,5.4,0.039,60,196,0.9948,3.19,0.78,10.0,4.0
6.6,0.17,0.28,1.1,0.034,55,108,0.98939,3.0,0.52,11.9,7.0
5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7.0
7.0,0.12,0.32,7.2,0.058,22,89,0.9966,3.29,0.38,9.2,6.0
5.0,0.61,0.12,1.3,0.009,65,100,0.9874,3.26,0.37,13.5,5.0
7.1,0.28,0.35,3.5,0.028,35,91,0.99022,2.96,0.33,12.1,5.0
6.8,0.24,0.31,18.3,0.046,40,142,1.0,3.3,0.41,8.7,5.0
7.2,0.24,0.29,2.2,0.037,37,102,0.992,3.27,0.64,11.0,7.0
5.7,0.385,0.04,12.6,0.034,22,115,0.9964,3.28,0.63,9.9,6.0
6.5,0.19,0.1,1.3,0.046,23,107,0.9937,3.29,0.45,10.0,5.0
7.1,0.26,0.34,14.4,0.067,35,189,0.9986,3.07,0.53,9.1,7.0
6.9,0.24,0.23,7.1,0.041,20,97,0.99246,3.1,0.85,11.4,6.0
8.0,0.27,0.33,1.2,0.05,41,103,0.99002,3.0,0.45,12.4,6.0
6.4,0.18,0.74,11.9,0.046,54,168,0.9978,3.58,0.68,10.1,5.0
5.9,0.23,0.28,8.6,0.046,37,142,0.99432,3.23,0.53,10.6,6.0
7.4,0.35,0.2,13.9,0.054,63,229,0.99888,3.11,0.5,8.9,6.0
6.7,0.31,0.31,4.9,0.031,20,151,0.9926,3.36,0.82,12.0,7.0
6.5,0.4,0.31,3.5,0.046,22,147,0.99024,3.15,0.31,12.0,7.0
6.6,0.18,0.28,1.7,0.041,53,161,0.99207,3.13,0.45,10.2,6.0
7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9.0,6.0
6.4,0.28,0.22,12.8,0.039,51,150,0.99535,3.23,0.43,10.7,6.0
5.6,0.255,0.57,10.7,0.056,66,171,0.99464,3.25,0.61,10.4,7.0
8.5,0.25,0.27,4.7,0.031,31,92,0.9922,3.01,0.33,12.0,6.0
7.0,0.27,0.36,20.7,0.045,45,170,1.001,3.0,0.45,8.8,6.0
6.9,0.32,0.13,7.8,0.042,11,117,0.996,3.23,0.37,9.2,5.0
8.3,0.17,0.31,1.5,0.049,48,153,0.9942,3.12,0.58,9.4,6.0
6.0,0.17,0.36,1.7,0.042,14,61,0.99144,3.22,0.54,10.8,6.0
6.7,0.48,0.32,1.4,0.021,22,121,0.9889,3.15,0.53,12.7,7.0
7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8.0
